CODIGO;TITULO
351910;Agente técnico de inteligência
783225;Ajudante de motorista
725010;Ajustador mecânico
725015;Ajustador mecânico (usinagem em bancada e em máquinas-ferramentas)
725020;Ajustador mecânico em bancada
414105;Almoxarife
252515;Analista de cobrança (instituições financeiras)
142125;Analista de compliance
252525;Analista de crédito (instituições financeiras)
252530;Analista de crédito rural
252510;Analista de câmbio
342215;Analista de desembaraço aduaneiro
212405;Analista de desenvolvimento de sistemas
142355;Analista de e-commerce
142365;Analista de experiência do cliente - customer experience
354305;Analista de exportação e importação
413105;Analista de folha de pagamento
252725;Analista de gestão de estoque
415310;Analista de informação em saúde
261215;Analista de informações (pesquisador de informações de rede)
252535;Analista de leasing
252715;Analista de logistica
391140;Analista de manutenção (equipamentos aéreos)
253405;Analista de mídias sociais
142330;Analista de negócios
252705;Analista de pcp (programação e controle da produção)
142335;Analista de pesquisa de mercado
391145;Analista de planejamento de manutenção
252710;Analista de planejamento de materias
252540;Analista de produtos bancários
252720;Analista de projetos logisticos
252405;Analista de recursos humanos
212410;Analista de redes e de comunicação de dados
142130;Analista de riscos
351705;Analista de seguros (técnico)
351710;Analista de sinistros
212415;Analista de sistemas de automação
142360;Analista de sucesso do cliente - customer success
212420;Analista de suporte computacional
212430;Analista de testes de tecnologia da informação
342105;Analista de transporte em comércio exterior
252545;Analista financeiro (instituições financeiras)
374155;Analista musical
715305;Armador de estrutura de concreto
715315;Armador de estrutura de concreto armado
411010;Assistente administrativo
351715;Assistente comercial de seguros
262805;Assistente de coreografia
261910;Assistente de direção (tv)
818105;Assistente de laboratório industrial
373145;Assistente de operações audiovisuais
354125;Assistente de vendas
251605;Assistente social
351720;Assistente técnico de seguros
421105;Atendente comercial (agência postal)
413205;Atendente de agência
515110;Atendente de enfermagem
521130;Atendente de farmácia - balconista
411015;Atendente de judiciário
513435;Atendente de lanchonete
516340;Atendente de lavanderia
521140;Atendente de lojas e mercados
252205;Auditor (contadores e afins)
515205;Auxiliar de banco de sangue
371105;Auxiliar de biblioteca
411025;Auxiliar de cartório
413110;Auxiliar de contabilidade
763105;Auxiliar de corte (preparação da confecção de roupas)
331110;Auxiliar de desenvolvimento infantil
322230;Auxiliar de enfermagem
322250;Auxiliar de enfermagem da estratégia de saúde da família
322235;Auxiliar de enfermagem do trabalho
411005;Auxiliar de escritório
411035;Auxiliar de estatística
515210;Auxiliar de farmácia de manipulação
413115;Auxiliar de faturamento
411020;Auxiliar de judiciário
515215;Auxiliar de laboratório de análises clínicas
818110;Auxiliar de laboratório de análises físico-químicas
515220;Auxiliar de laboratório de imunobiológicos
516345;Auxiliar de lavanderia
414140;Auxiliar de logística
514310;Auxiliar de manutenção predial
782625;Auxiliar de maquinista de trem
411030;Auxiliar de pessoal
842120;Auxiliar de processamento de fumo
515225;Auxiliar de produção farmacêutica
322420;Auxiliar de prótese dentária
766420;Auxiliar de radiologia (revelação fotográfica)
322240;Auxiliar de saúde (navegação marítima)
411040;Auxiliar de seguros
411045;Auxiliar de serviços de importação e exportação
351430;Auxiliar de serviços jurídicos
519305;Auxiliar de veterinário
322415;Auxiliar em saúde bucal
322430;Auxiliar em saúde bucal da estratégia de saúde da família
992225;Auxiliar geral de conservação de vias permanentes (exceto trilhos)
513505;Auxiliar nos serviços de alimentação
341250;Auxiliar técnico de sinalização nautica
325105;Auxiliar técnico em laboratório de farmácia
201105;Bioengenheiro
221205;Biomédico
731170;Bobinador eletricista, à máquina
731165;Bobinador eletricista, à mão
715505;Carpinteiro
715515;Carpinteiro (cenários)
715510;Carpinteiro (esquadrias)
715520;Carpinteiro (mineração)
715530;Carpinteiro (telhados)
777205;Carpinteiro de carretas
777210;Carpinteiro de carrocerias
715535;Carpinteiro de fôrmas para concreto
715525;Carpinteiro de obras
715540;Carpinteiro de obras civis de arte (pontes, túneis, barragens)
