codigo,descricao,grau_risco
0111-3/01,Cultivo de arroz,3
0111-3/02,Cultivo de milho,3
0111-3/03,Cultivo de trigo,3
0111-3/99,Cultivo de outros cereais não especificados anteriormente,3
0112-1/01,Cultivo de algodão herbáceo,3
0112-1/02,Cultivo de juta,3
0112-1/99,Cultivo de outras fibras de lavoura temporária não especificadas anteriormente,3
0113-0/00,Cultivo de cana-de-açúcar,3
0114-8/00,Cultivo de fumo,3
0115-6/00,Cultivo de soja,3
0116-4/01,Cultivo de amendoim,3
0116-4/02,Cultivo de girassol,3
0116-4/03,Cultivo de mamona,3
0116-4/99,Cultivo de outras oleaginosas de lavoura temporária não especificadas anteriormente,3
0119-9/01,Cultivo de abacaxi,3
0119-9/02,Cultivo de alho,3
0119-9/03,Cultivo de batata-inglesa,3
0119-9/04,Cultivo de cebola,3
0119-9/05,Cultivo de feijão,3
0119-9/06,Cultivo de mandioca,3
0119-9/07,Cultivo de melão,3
0119-9/08,Cultivo de melancia,3
0119-9/09,Cultivo de tomate rasteiro,3
0119-9/99,Cultivo de outras plantas de lavoura temporária não especificadas anteriormente,3
0121-1/01,"Horticultura, exceto morango",3
0121-1/02,Cultivo de morango,3
0122-9/00,Cultivo de flores e plantas ornamentais,3
0131-8/00,Cultivo de laranja,3
0132-6/00,Cultivo de uva,3
0133-4/01,Cultivo de açaí,3
0133-4/02,Cultivo de banana,3
0133-4/03,Cultivo de caju,3
0133-4/04,"Cultivo de cítricos, exceto laranja",3
0133-4/05,Cultivo de coco-da-baía,3
0133-4/06,Cultivo de guaraná,3
0133-4/07,Cultivo de maçã,3
0133-4/08,Cultivo de mamão,3
0133-4/09,Cultivo de maracujá,3
0133-4/10,Cultivo de manga,3
0133-4/11,Cultivo de pêssego,3
0133-4/99,Cultivo de frutas de lavoura permanente não especificadas anteriormente,3
0134-2/00,Cultivo de café,3
0135-1/00,Cultivo de cacau,3
0139-3/01,Cultivo de chá-da-índia,3
0139-3/02,Cultivo de erva-mate,3
0139-3/03,Cultivo de pimenta-do-reino,3
0139-3/04,"Cultivo de plantas para condimento, exceto pimenta-do-reino",3
0139-3/05,Cultivo de dendê,3
0139-3/06,Cultivo de seringueira,3
0139-3/99,Cultivo de outras plantas de lavoura permanente não especificadas anteriormente,3
0141-5/01,"Produção de sementes certificadas, exceto de forrageiras para pasto",3
0141-5/02,Produção de sementes certificadas de forrageiras para formação de pasto,3
0142-3/00,"Produção de mudas e outras formas de propagação vegetal, certificadas",3
0151-2/01,Criação de bovinos para corte,3
0151-2/02,Criação de bovinos para leite,3
0151-2/03,"Criação de bovinos, exceto para corte e leite",3
0152-1/01,Criação de bufalinos,3
0152-1/02,Criação de equinos,3
0152-1/03,Criação de asininos e muares,3
0153-9/01,Criação de caprinos,3
0153-9/02,"Criação de ovinos, inclusive para produção de lã",3
0154-7/00,Criação de suínos,3
0155-5/01,Criação de frangos para corte,3
0155-5/02,Produção de pintos de um dia,3
0155-5/03,"Criação de outros galináceos, exceto para corte",3
0155-5/04,"Criação de aves, exceto galináceos",3
0155-5/05,Produção de ovos,3
0159-8/01,Apicultura,3
0159-8/02,Criação de animais de estimação,3
0159-8/03,Criação de escargô,3
0159-8/04,Criação de bicho-da-seda,3
0159-8/99,Criação de outros animais não especificados anteriormente,3
0161-0/01,Serviço de pulverização e controle de pragas agrícolas,3
0161-0/02,Serviço de poda de árvores para lavouras,3
0161-0/03,"Serviço de preparação de terreno, cultivo e colheita",3
0161-0/99,Atividades de apoio à agricultura não especificadas anteriormente,3
0162-8/01,Serviço de inseminação artificial em animais,3
0162-8/02,Serviço de tosquiamento de ovinos,3
0162-8/03,Serviço de manejo de animais,3
0162-8/99,Atividades de apoio à pecuária não especificadas anteriormente,3
0163-6/00,Atividades de pós-colheita,3
0170-9/00,Caça e serviços relacionados,3
0210-1/01,Cultivo de eucalipto,3
0210-1/02,Cultivo de acácia-negra,3
0210-1/03,Cultivo de pinus,3
0210-1/04,Cultivo de teca,3
0210-1/05,"Cultivo de espécies madeireiras, exceto eucalipto, acácia-negra, pinus e teca",3
0210-1/06,Cultivo de mudas em viveiros florestais,3
0210-1/07,Extração de madeira em florestas plantadas,3
0210-1/08,Produção de carvão vegetal - florestas plantadas,3
0210-1/09,Produção de casca de acácia-negra - florestas plantadas,3
