CODIGO,TITULO
1,"1,1-dicloro-2,2-bis (P-clorofeniletileno)"
2,"1,1,1-tricloroetano"
3,"1,2 dihidroxi-4-(N-acetilcisteinil)-butano"
4,"1,25-dihidroxi vitamina D"
5,"1,2-ciclo-hexanediol"
6,"1,2-dibromo-3-cloropropano"
7,"1,2-diclorobenzeno"
8,"1,2-gliceril dinitrato"
9,"1,3-gliceril dinitrato"
10,"1,5-diaminonaftaleno"
1398,11-desoxicorticosterona
1399,17-alfa-hidroxiprogesterona
11,17-cetogênicos (17-CGS)
12,17-cetosteróides
13,17-cetosteróides relação alfa/beta
14,17-cetosteróides totais (17-CTS)
15,17-hidroxicorticosteróides (17-OHS)
16,17-hidroxipregnenolona
17,1-etoxi-2-propanol
18,1-hidroxipireno
19,1-metoxi-2-propanol
20,1-naftol + 2-naftol
21,2-amino-4-nitrofenol
22,"2,2'-dicloro-4,4'metileno dianilina"
23,"2,2-dimetil-1,3benzodioxol"
24,"2,4-dinitroaminotolueno"
25,"2,4-hidroxibifenil"
26,"2,5-diclorofenol"
27,"2,5-heptanediona"
28,"2,5-hexanediona + 4,5-dihidroxi-2-hexanona"
29,"2,5-hexanodiona urinária"
30,"2,6-dinitroaminotolueno"
31,2-butanona
32,"2-dimetilamino-4-hidroxi-5,6-dimetilpirimidina"
33,"2-etil, 5-hidroxi-hexil-ftalato"
34,2-etil-5-oxi-hexil-ftalato
35,2-etilfenol
36,2-fenil 2-propanol
37,2-isopropoxifenol
38,"2-metilamino-4-hidroxi-5,6-dimetilpirimidina"
39,2-metilpentano sanguíneo
40,2-naftilamina
41,"3,4-diclorocatecol"
42,3-alfa androstanediol glucoronídeo (3-ALFADIOL)
43,3-hidroxibenzopireno
44,3-hidroxicarbofurano urinário
45,3-metil histidina
46,3-metil pentano sanguíneo
47,"4,4-diaminodiciclohexil metano (DDHM)"
49,"4,4-diaminodifenilmetano"
50,"4,4'-metileno bis-2-cloroanilina (MbOCA)"
48,"4,4'-metilenodianilina (MDA)"
51,"4,5-diclorocatecol"
52,"4,6-dinitro-o-cresol (DNOC) sanguíneo"
53,"4-amino-2,6-dinitrotolueno"
54,4-amino-2-nitrofenol
55,4-amino-bifenil
56,4-clorocatecol
57,4-cloro-o-toluidina (derivados)
58,4-etilfenol
59,4-metilpentan-2-ona
60,"5,6-dimetil-2-(metilamino)pirimidin-4-ol"
61,5-hidroximetil-pirrolidona
62,5-hydroxi-N-metilpirrolidona
63,5-nucleotidase
64,Aberrações cromossômicas (pesquisa)
65,Absidia (pesquisa)
66,Acanthamoeba (pesquisa)
67,Acetaminofen
68,Acetilcolinesterase eritrocitária
69,Acetilcolinesterase plasmática
70,Acetona sanguínea
71,Acetona urinária
72,Acidez titulável na urina
74,"Ácido 2,4,5-triclorofenoxiacético (2,4,5-T) urinário"
75,"Ácido 2,4-diclorofenoxiacético (2,4-D) urinário"
73,"Ácido 2,4-dinitrobenzoico"
76,Ácido 2-hidroxi-3-butenil mercaptúrico
77,Ácido 2-hidroxipropil mercaptúrico
78,Ácido 2-tiotiazolidina
79,Ácido 2-tiotiazolidina-4-carboxílico (TTCA)
80,"Ácido 3,4-dihidroxibutil mercaptúrico"
81,Ácido 3-fenoxibenzoico
82,Ácido 3-hidroxipropil mercaptúrico
83,Ácido 4-cloro-2-metilfenoxiacético (MCPA) urinário
84,Ácido 4-fluoro-3-fenoxibenzoico
85,Ácido 5 hidróxi-indolacético
86,Ácido acético
87,Ácido ascórbico (vitamina C)
88,Ácido beta hidroxi-butírico
89,Ácido butoxi-acético
90,Ácido cacodílico
91,"Ácido cis- 3-(2,2-diclorovinil)-2,2-dimetilciclopropanocarboxilico"
92,"Ácido cis-3-(2,2-dibromovinil)-2,2-dimetilciclopropanocarboxilico"
93,Ácido cítrico na urina
94,Ácido dehidroabiético
95,Ácido delta aminolevulínico
96,Ácido delta aminolevulínico desidratase (ALA-D)
97,Ácido d-glucárico
98,Ácido dimetilarsínico
99,Ácido dimetilbenzoico
100,Ácido etoxiacético
101,Ácido fenilfosfórico urinário
102,Ácido fenilglioxílico
103,Ácido fenil-mercaptúrico
104,Ácido fólico eritrocitário
105,Ácido fórmico
106,Ácido furoico
107,Ácido glioxílico
108,Ácido hidroxietil-mercaptúrico
109,Ácido hipúrico
110,Ácido homo vanílico
111,Ácido homogentísico urinário
112,Ácido láctico (lactato)
